"","ID","PropertyDetails.PropertyAddress","PropertyDetails.PostalAddressForThisAssessment"
"2171",319447,"57 Lees Street Dunedin","57 Lees Street Dunedin 9016"
"2172",319448,"59 Lees Street Dunedin","225 Gladstone Road South RD 2 Mosgiel 9092"
"2173",319449,"61 Lees Street Dunedin","37 District Road Roseneath Port Chalmers 9023"
"2174",319450,"63 Lees Street Dunedin","33 Overdale Drive Cashmere Christchurch 8022"
"2175",319451,"23 Jones Street Dunedin","Orange Sands Trust 23 Jones Street Dunedin 9016"
"2176",319452,"25 Jones Street Dunedin","139/7 Land Street Toowong QLD 4066 AUSTRALIA"
"2177",319454,"30 Maitland Street Dunedin","12 Jubilee Street Dunedin 9011"
"2178",319456,"24 Maitland Street Dunedin","24 Maitland Street Dunedin 9016"
"2179",319457,"22 Maitland Street Dunedin","22 Maitland Street Dunedin 9016"
"2180",319458,"20 Maitland Street Dunedin","15 Havelock Street Dunedin 9011"
"2181",319459,"18 Maitland Street Dunedin","7 Dame Street Waikouaiti 9510"
"2182",319460,"16 Maitland Street Dunedin","370 Pillans Road RD 2 Balclutha 9272"
"2183",319463,"874 Princes Street Dunedin","874 Princes Street Dunedin 9016"
"2184",319464,"874 Princes Street Dunedin","874 Princes Street Dunedin 9016"
"2185",319465,"848 Princes Street Dunedin","848 Princes Street Dunedin 9016"
"2186",319466,"844 Princes Street Dunedin","C/O Sorted Property Management PO Box 89 Dunedin 9054"
"2187",319467,"838 Princes Street Dunedin","7 Manuka Street Ravensbourne Dunedin 9022"
"2188",319468,"832 Princes Street Dunedin","7 Manuka Street Ravensbourne Dunedin 9022"
"2189",319469,"808 Princes Street Dunedin","2/155 Bucklands Beach Road Bucklands Beach Auckland 2012"
"2190",319470,"1 Lees Street Dunedin","Roberts Family Trust 47 Hillcrest Road Otumoetai Tauranga 3110"
"2191",319471,"3 Lees Street Dunedin","3 Lees Street Dunedin 9016"
"2192",319472,"5 Lees Street Dunedin","4 Fenton Crescent Dunedin 9012"
"2193",319473,"7 Lees Street Dunedin","50 Morrison Street Dunedin 9012"
"2194",319474,"11 Lees Street Dunedin","PO Box 5 Arrowtown 9351"
"2195",319475,"15 Lees Street Dunedin","15 Lees Street Dunedin 9016"
"2196",319476,"23 Lees Street Dunedin","C/O Jenny Fitzgerald Private Bag 1959 Dunedin 9054"
"2197",319477,"27 Lees Street Dunedin","27 Lees Street Dunedin 9016"
"2198",319478,"401 High Street Dunedin","PO Box 619 Dunedin 9054"
"2199",319479,"403 High Street Dunedin","PO Box 619 Dunedin 9054"
"2200",319481,"411 High Street Dunedin","411 High Street Dunedin 9016"
"2201",319482,"413 High Street Dunedin","413 High Street Dunedin 9016"
"2202",319483,"417 High Street Dunedin","3 Golfers Drive Balclutha 9230"
"2203",319484,"12 William Street Dunedin","44 Dean Street Grey Lynn Auckland 1021"
"2204",319487,"6 William Street Dunedin","254 Hillhead Road Dunedin 9012"
"2205",319488,"4 William Street Dunedin","4 William Street Dunedin 9016"
"2206",319489,"2 William Street Dunedin","PO Box 13007 Green Island Dunedin 9052"
"2207",319490,"2A William Street Dunedin","2A William Street Dunedin 9016"
"2208",319491,"132 Stafford Street Dunedin","132 Stafford Street Dunedin 9016"
"2209",319492,"128 Stafford Street Dunedin","PO Box 7027 Mornington Dunedin 9040"
"2210",319493,"126 Stafford Street Dunedin","11 Clearwater Street Broad Bay Dunedin 9014"
"2211",319494,"163 Maitland Street Dunedin","39 Oyster Point Road RD 4 Warkworth 0984"
"2212",319495,"165 Maitland Street Dunedin","165 Maitland Street Dunedin 9016"
"2213",319496,"167 Maitland Street Dunedin","167 Maitland Street Dunedin 9016"
"2214",319497,"169 Maitland Street Dunedin","169 Maitland Street Dunedin 9016"
"2215",319498,"389 High Street Dunedin","389 High Street Dunedin 9016"
"2216",319499,"425 High Street Dunedin","425 High Street Dunedin 9016"
"2217",319500,"423 High Street Dunedin","423 High Street Dunedin 9016"
"2218",319501,"433 High Street Dunedin","PO Box 47424 Ponsonby Auckland 1144"
"2219",319502,"10 Alva Street Dunedin","Glenorchy Trust 10 Alva Street Dunedin 9016"
"2220",319503,"435 High Street Dunedin","435 High Street Dunedin 9016"
"2221",319504,"12 Alva Street Dunedin","12 Alva Street Dunedin 9016"
"2222",319505,"8 Alva Street Dunedin","8 Alva Street Dunedin 9016"
"2223",319506,"6 Alva Street Dunedin","6 Alva Street Dunedin 9016"
"2224",319508,"2 Alva Street Dunedin","2 Alva Street Dunedin 9016"
"2225",319509,"1 William Street Dunedin","C/O Cutlers Property Management 709 Great King Street Dunedin 9016"
"2226",319510,"3 William Street Dunedin","6 Pakuranga Road Pakuranga Auckland 2010"
"2227",319511,"5 William Street Dunedin","5 William Street Dunedin 9016"
"2228",319512,"7 William Street Dunedin","7 William Street Dunedin 9016"
"2229",319513,"9 William Street Dunedin","9 William Street Dunedin 9016"
"2230",319514,"11 William Street Dunedin","4 Marowin Place Wauchope NSW 2446 AUSTRALIA"
"2231",319515,"421 High Street Dunedin","421 High Street Dunedin 9016"
"2232",319516,"7 Alva Street Dunedin","L A Parry Family Trust &ampC A Parry Family Trust PO Box 377 Wanaka 9343"
"2233",319517,"7A Alva Street Dunedin","200A Elgin Road Dunedin 9011"
"2234",319518,"441 High Street Dunedin","R F and L W Johnston Accommodation Trust 441 High Street Dunedin 9016"
"2235",319519,"508 Queens Drive Dunedin",NA
"2236",319520,"506 Queens Drive Dunedin","506 Queens Drive Dunedin 9016"
"2237",319521,"518 Queens Drive Dunedin","PO Box 143 Dunedin 9054"
"2238",319522,"56 Maori Road Dunedin","56 Maori Road Dunedin 9016"
"2239",319523,"520 Queens Drive Dunedin","PO Box 143 Dunedin 9054"
"2240",319524,"505 Queens Drive Dunedin","6 Glenfinlass Street Company Bay Dunedin 9014"
"2241",319525,"LOT 1 Hawthorn Avenue Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2242",319526,"9 Meadow Street Dunedin","9 Meadow Street Dunedin 9016"
"2243",319527,"501 Queens Drive Dunedin","501 Queens Drive Dunedin 9016"
"2244",319528,"503 Queens Drive Dunedin","503 Queens Drive Dunedin 9016"
"2245",319529,"5 Meadow Street Dunedin","5 Meadow Street Dunedin 9016"
"2246",319530,"7 Meadow Street Dunedin","G A and A G Vaughan Family Trust 7 Meadow Street Dunedin 9016"
"2247",319531,"502 Queens Drive Dunedin","G R and R M Meikle Family Trust 502 Queens Drive Dunedin 9016"
"2248",319532,"28 Montpellier Street Dunedin","28 Montpellier Street Dunedin 9016"
"2249",319533,"12 Montpellier Street Dunedin","Tintin Trust 12 Montpellier Street Dunedin 9016"
"2250",319534,"8 Montpellier Street Dunedin","8 Montpellier Street Dunedin 9016"
"2251",319535,"6 Montpellier Street Dunedin","14A Farley Street Dunedin 9010"
"2252",319536,"2 Montpellier Street Dunedin","2 Montpellier Street Dunedin 9016"
"2253",319537,"45 Alva Street Dunedin","45 Alva Street Dunedin 9016"
"2254",319538,"14 Montpellier Street Dunedin","14 Montpellier Street Dunedin 9016"
"2255",319539,"16 Montpellier Street Dunedin","16 Montpellier Street Dunedin 9016"
"2256",319541,"47 Maori Road Dunedin","47 Maori Road Dunedin 9016"
"2257",319542,"36 Alva Street Dunedin","36 Alva Street Dunedin 9016"
"2258",319543,"38 Alva Street Dunedin","Glengyle Trust 247D Bannockburn Road RD 2 Cromwell 9384"
"2259",319544,"34 Alva Street Dunedin","PO Box 7132 Mornington Dunedin 9040"
"2260",319545,"32 Alva Street Dunedin","PO Box 7132 Mornington Dunedin 9040"
"2261",319546,"26 Alva Street Dunedin","178 Cudmore Terrace Henley Beach SA 5002 AUSTRALIA"
"2262",319547,"22 Alva Street Dunedin","68 Dunrobin Street Dunedin 9013"
"2263",319548,"440 High Street Dunedin","440 High Street Dunedin 9016"
"2264",319549,"434 High Street Dunedin","434 High Street Dunedin 9016"
"2265",319550,"15 William Street Dunedin","15 William Street Dunedin 9016"
"2266",319551,"17 William Street Dunedin","17 William Street Dunedin 9016"
"2267",319552,"19 William Street Dunedin","375 High Street Dunedin 9016"
"2268",319553,"21 William Street Dunedin","PO Box 38 Dunedin 9054"
"2269",319554,"69 Serpentine Avenue Dunedin","136 Union Street Milton 9220"
"2270",319557,"18 South Road Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2271",319558,"1 Maitland Street Dunedin","1 Maitland Street Dunedin 9016"
"2272",319559,"7 Maitland Street Dunedin","7 Maitland Street Dunedin 9016"
"2273",319560,"7 Maitland Street Dunedin","7 Maitland Street Dunedin 9016"
"2274",319561,"9 Maitland Street Dunedin","98 Leven Street Invercargill 9810"
"2275",319564,"15 Maitland Street Dunedin","110E Canongate Dunedin 9016"
"2276",319565,"17 Maitland Street Dunedin","2/405 Kings Road London SW10OBB UNITED KINGDOM"
"2277",319566,"19 Maitland Street Dunedin","C/O Ted Ottrey 6/51 Manor Place Dunedin 9016"
"2278",319567,"21 Maitland Street Dunedin","21 Maitland Street Dunedin 9016"
"2279",319568,"23 Maitland Street Dunedin","54 Bennetts Road Camp Hill BRISBANE 4152 AUSTRALIA"
"2280",319569,"25 Maitland Street Dunedin","P T and B J Clark Family Trust 25 Maitland Street Dunedin 9016"
"2281",319570,"27 Maitland Street Dunedin","Bryn Conroy Family Trust PO Box 2489 South Dunedin Dunedin 9044"
"2282",319573,"35 Maitland Street Dunedin","12 Noble Street Waiuku 2123"
"2283",319574,"37 Maitland Street Dunedin","37 Maitland Street Dunedin 9016"
"2284",319575,"41 Maitland Street Dunedin","Ananda Marga Trust PO Box 259 Dunedin 9054"
"2285",319576,"47 Maitland Street Dunedin","129 London Street Dunedin 9016"
"2286",319577,"49 Maitland Street Dunedin","129 London Street Dunedin 9016"
"2287",319578,"51 Maitland Street Dunedin","C/O Harcourts Property Management PO Box 5267 Moray Place Dunedin 9058"
"2288",319579,"53 Maitland Street Dunedin","C/O Fiona Cooper 304 Taieri Road Dunedin 9010"
"2289",319580,"55 Maitland Street Dunedin","55 Maitland Street Dunedin 9016"
"2290",319581,"57 Maitland Street Dunedin","57 Maitland Street Dunedin 9016"
"2291",319582,"59 Maitland Street Dunedin","5 Caspian Street Southshore Christchurch 8062"
"2292",319583,"61 Maitland Street Dunedin","Finlit Trust 1/320 Brook Street The Brook Nelson 7010"
"2293",319584,"71 Maitland Street Dunedin","71 Maitland Street Dunedin 9016"
"2294",319585,"73 Maitland Street Dunedin","18 Moa Road Point Chevalier Auckland 1022"
"2295",319586,"75 Maitland Street Dunedin","166 Bay View Road Dunedin 9012"
"2296",319587,"77 Maitland Street Dunedin","32 Grosvenor Street Grey Lynn Auckland 1021"
"2297",319588,"81 Maitland Street Dunedin","81 Maitland Street Dunedin 9016"
"2298",319589,"3 Steep Street Dunedin","A J Wratislav 2002 Family Trust 31 Tarahua Road Vogeltown New Plymouth 4310"
"2299",319590,"5 Steep Street Dunedin","1 Marion Street Macandrew Bay Dunedin 9014"
"2300",319591,"2 Steep Street Dunedin","PO Box 970 Dunedin 9054"
"2301",319592,"4 Steep Street Dunedin","PO Box 970 Dunedin 9054"
"2302",319593,"83 Maitland Street Dunedin","25 Ngahere Terrace RD 1 Whangamata 3691"
"2303",319594,"85 Maitland Street Dunedin","18B Downes Road Roseneath Port Chalmers 9023"
"2304",319595,"87 Maitland Street Dunedin","58 Norfolk Street Arrowtown 9302"
"2305",319596,"91 Maitland Street Dunedin","Badhuisweg 18A The Hague 2587 CH THE NERTHERLANDS"
"2306",319597,"93 Maitland Street Dunedin","87 Endsleigh Drive RD 2 Hastings 4172"
"2307",319598,"95 Maitland Street Dunedin","C/O Cutlers Property Management 709 Great King Street Dunedin 9016"
"2308",319599,"103 Maitland Street Dunedin","8A Flower Street Fairfield Dunedin 9018"
"2309",319601,"107 Maitland Street Dunedin","Aitken Family Trust 2 Kupe Place Linton Camp Palmerston North 4820"
"2310",319604,"127 Maitland Street Dunedin","Lois and Frank Coory Family Trust 129 Maitland Street Dunedin 9016"
"2311",319605,"129 Maitland Street Dunedin","Lois and Frank Coory Family Trust 129 Maitland Street Dunedin 9016"
"2312",319606,"135 Maitland Street Dunedin","PO Box 1442 Dunedin 9054"
"2313",319607,"137 Maitland Street Dunedin","C/O Nidd Property Management PO Box 6099 Dunedin North Dunedin 9059"
"2314",319608,"141 Maitland Street Dunedin","16 Leven Street Dunedin 9010"
"2315",319609,"143 Maitland Street Dunedin","143 Maitland Street Dunedin 9016"
"2316",319611,"149 Maitland Street Dunedin","38 Downshire Road Elsternwick VIC 3185 AUSTRALIA"
"2317",319612,"153 Maitland Street Dunedin","153 Maitland Street Dunedin 9016"
"2318",319613,"157 Maitland Street Dunedin","157 Maitland Street Dunedin 9016"
"2319",319614,"PT SEC 30D Stafford Street Dunedin","Gone No Address"
"2320",319615,"135 Stafford Street Dunedin","12 Condell Avenue Papanui Christchurch 8053"
"2321",319616,"137 Stafford Street Dunedin","137 Stafford Street Dunedin 9016"
"2322",319617,"139 Stafford Street Dunedin","139 Stafford Street Dunedin 9016"
"2323",319626,"9 St Andrew Street Dunedin","17 Melrose Street Dunedin 9010"
"2324",319627,"7 St Andrew Street Dunedin","17 Melrose Street Dunedin 9010"
"2325",319628,"1 St Andrew Street Dunedin","C/O P B Truman PO Box 5175 Moray Place Dunedin 9058"
"2326",319629,"1 St Andrew Street Dunedin","C/O P B Truman PO Box 5175 Moray Place Dunedin 9058"
"2327",319630,"23 Filleul Street Dunedin","PO Box 6058 Dunedin North Dunedin 9059"
"2328",319631,"15 Filleul Street Dunedin","3 Mill Green RD 1 Queenstown 9371"
"2329",319632,"229 Moray Place Dunedin","PO Box 5230 Moray Place Dunedin 9058"
"2330",319633,"101 George Street Dunedin","77 Victoria Road Dunedin 9012"
"2331",319637,"125 George Street Dunedin","N K I Trust 200 King Edward Street Dunedin 9012"
"2332",319640,"143 George Street Dunedin","11A Harcourt Street Dunedin 9011"
"2333",319643,"167 George Street Dunedin","PO Box 28004 Havelock North 4157"
"2334",319646,"228 Stuart Street Dunedin","PO Box 5205 Moray Place Dunedin 9058"
"2335",319647,"50A The Octagon Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2336",319657,"230 Moray Place Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2337",319659,"71 George Street Dunedin","C/O Colliers International PO Box 19093 Hamilton 3244"
"2338",319672,"205 Stuart Street Dunedin","PO Box 1294 Dunedin 9054"
"2339",319681,"114 Moray Place Dunedin","159 Highgate Dunedin 9010"
"2340",319682,"112 Moray Place Dunedin","159 Highgate Dunedin 9010"
"2341",319711,"11 Moray Place Dunedin","PO Box 5653 Moray Place Dunedin 9058"
"2342",319714,"17C Moray Place Dunedin","PO Box 20 Tarras 9347"
"2343",319719,"29 Moray Place Dunedin","29 Moray Place Dunedin 9016"
"2344",319720,"31 Moray Place Dunedin","C/O Otago Real Estate PO Box 6400 Dunedin North Dunedin 9059"
"2345",319721,"32 Tennyson Street Dunedin","PO Box 1248 Dunedin 9054"
"2346",319722,"43 Moray Place Dunedin","43 Moray Place Dunedin 9016"
"2347",319723,"47A Moray Place Dunedin","C/O C J Paterson PO Box 43 Dunedin 9054"
"2348",319724,"47B Moray Place Dunedin","C/O C J Paterson PO Box 43 Dunedin 9054"
"2349",319727,"3 View Street Dunedin","C/O Cutlers Property Management 709 Great King Street Dunedin 9016"
"2350",319728,"5 View Street Dunedin","5 View Street Dunedin 9016"
"2351",319729,"7 View Street Dunedin","2 Dalmeny Street Dunedin 9010"
"2352",319732,"36 Tennyson Street Dunedin","L and P P Lowe Family Trust 46 Pacific Street Dunedin 9010"
"2353",319733,"30 Tennyson Street Dunedin","PO Box 5589 Moray Place Dunedin 9058"
"2354",319735,"18 Tennyson Street Dunedin","C/O J L L PO Box 165 Shortland Street Auckland 1140"
"2355",319738,"138 Princes Street Dunedin","C/O B P Hailes 924 Mount Cargill Road RD 2 Waitati 9085"
"2356",319739,"136 Princes Street Dunedin","23 Selkirk Street Dunedin 9010"
"2357",319757,"49 Dowling Street Dunedin","Attention Esther George PO Box 231 Dunedin 9054"
"2358",319758,"180 Rattray Street Dunedin","Attention Esther George PO Box 231 Dunedin 9054"
"2359",319760,"162 Rattray Street Dunedin","PO Box 856 Dunedin 9054"
"2360",319761,"158 Rattray Street Dunedin","PO Box 856 Dunedin 9054"
"2361",319762,"150 Rattray Street Dunedin","PO Box 311 Dunedin 9054"
"2362",319763,"150 Rattray Street Dunedin","PO Box 311 Dunedin 9054"
"2363",319769,"194 Princes Street Dunedin","C/O Farry Clear Limited PO Box 5156 Moray Place Dunedin 9058"
"2364",319770,"192 Princes Street Dunedin","36 Gleniti Road Timaru 7910"
"2365",319771,"190 Princes Street Dunedin","15 Harbour Heights Dunedin 9013"
"2366",319787,"173 Rattray Street Dunedin","T/A Scenic Hotel Southern Cross PO Box 29369 Riccarton Christchurch 8440"
"2367",319788,"175 Rattray Street Dunedin","PO Box 311 Dunedin 9054"
"2368",319789,"179 Rattray Street Dunedin","179 Rattray Street Dunedin 9016"
"2369",319790,"35 MacLaggan Street Dunedin","PO Box 6320 Wellesley Street Auckland 1141"
"2370",319791,"2 Clark Street Dunedin","PO Box 5230 Moray Place Dunedin 9058"
"2371",319792,"204 High Street Dunedin","PO Box 5230 Moray Place Dunedin 9058"
"2372",319793,"142 High Street Dunedin","PO Box 929 Dunedin 9054"
"2373",319799,"30 Filleul Street Dunedin","PO Box 5230 Moray Place Dunedin 9058"
"2374",319800,"32 York Place Dunedin","PO Box 5475 Moray Place Dunedin 9058"
"2375",319801,"44 York Place Dunedin","C/O Opoho Leith Investment Trust No 2A/6 PO Box 6058 Dunedin North Dunedin 9059"
"2376",319802,"46 York Place Dunedin","PO Box 5455 Moray Place Dunedin 9058"
"2377",319803,"56 York Place Dunedin","PO Box 5848 Moray Place Dunedin 9058"
"2378",319804,"52 York Place Dunedin","C/O B P Hailes 924 Mount Cargill Road RD 2 Waitati 9085"
"2379",319805,"72 York Place Dunedin","4355 Roxburgh-Ettrick Road RD 2 Roxburgh 9572"
"2380",319806,"4 Smith Street Dunedin","31 Kennedy Point Road Surfdale Waiheke Island 1081"
"2381",319807,"6 Smith Street Dunedin","88 Bellara Street Bribie Island QLD 4507 AUSTRALIA"
"2382",319808,"9 Islay Street Dunedin","CMB 30008 RD 1 Outram 9073"
"2383",319809,"10 Smith Street Dunedin","PO Box 5640 Wellesley Street Auckland 1141"
"2384",319810,"14 Smith Street Dunedin","C/O Lani Hagman 10 Coldstream Court Ilam Christchurch 8041"
"2385",319811,"16 Smith Street Dunedin","T J and V J Appleby Family Trust 14 Wynyard Street Kurow 9435"
"2386",319812,"18 Smith Street Dunedin","7 Smith Street Balclutha 9230"
"2387",319813,"242 Stuart Street Dunedin","PO Box 5456 Moray Place Dunedin 9058"
"2388",319814,"236 Stuart Street Dunedin","PO Box 5739 Moray Place Dunedin 9058"
"2389",319815,"139 Moray Place Dunedin","17 Aspiring Terrace Wanaka 9305"
"2390",319819,"23A Garden Place Dunedin","Hallarno Family Trust 23A Garden Place Dunedin 9010"
"2391",319821,"18 Filleul Street Dunedin","Matthew Easton Family Trust 12 Filleul Street Dunedin 9016"
"2392",319822,"26 Filleul Street Dunedin","C/O N Z C U South PO Box 6294 Dunedin North Dunedin 9059"
"2393",319826,"233 Stuart Street Dunedin","J R and G F White Family Trust 136 Garry River Road RD 3 Rangiora 7473"
"2394",319827,"235 Stuart Street Dunedin","C/O McCrimmon Law PO Box 5338 Moray Place Dunedin 9058"
"2395",319828,"241 Stuart Street Dunedin","43 Chedworth Avenue Chedworth Hamilton 3210"
"2396",319831,"253 Stuart Street Dunedin","C/O Spectra Limited PO Box 613 Dunedin 9054"
"2397",319832,"30 Smith Street Dunedin","30 Smith Street Dunedin 9016"
"2398",319833,"28 Smith Street Dunedin","55 Aynsley Terrace Hillsborough Christchurch 8022"
"2399",319834,"56 Tennyson Street Dunedin","PO Box 6361 Dunedin North Dunedin 9059"
"2400",319835,"52 Tennyson Street Dunedin","PO Box 6361 Dunedin North Dunedin 9059"
"2401",319836,"8 View Street Dunedin","PO Box 109 Lake Tekapo 7945"
"2402",319837,"6 View Street Dunedin",NA
"2403",319838,"4 View Street Dunedin","139 Doon Street Dunedin 9013"
"2404",319846,"111 Moray Place Dunedin","PO Box 5474 Moray Place Dunedin 9058"
"2405",319847,"231 Stuart Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2406",319850,"232 Rattray Street Dunedin","8 Glengyle Street Dunedin 9013"
"2407",319851,"35 Tennyson Street Dunedin","27A Sheen Street Dunedin 9010"
"2408",319852,"6 Bishops Place Dunedin","10 Hadley Close Dunedin 9010"
"2409",319854,"231 Rattray Street Dunedin","109 Barr Street Dunedin 9011"
"2410",319855,"2 Bishops Place Dunedin","277 Rattray Street Dunedin 9016"
"2411",319857,"301 Rattray Street Dunedin","R and S McMeeken Family Trust 295 Rattray Street Dunedin 9016"
"2412",319858,"10 Bishops Road Dunedin","R and S McMeeken Family Trust 295 Rattray Street Dunedin 9016"
"2413",319859,"9 Brown Street Dunedin","9 Brown Street Dunedin 9016"
"2414",319860,"3 Bishops Road Dunedin","45 Kelvin Road Dunedin 9010"
"2415",319861,"1 Bishops Place Dunedin","19 Bishop Street St Albans Christchurch 8014"
"2416",319862,"4 Bishops Place Dunedin","4 Bishops Place Dunedin 9016"
"2417",319863,"24 Elm Row Dunedin","24 Elm Row Dunedin 9016"
"2418",319864,"34 Elm Row Dunedin","34 Elm Row Dunedin 9016"
"2419",319865,"30 Elm Row Dunedin","30 Elm Row Dunedin 9016"
"2420",319866,"38 Elm Row Dunedin","38 Elm Row Dunedin 9016"
"2421",319867,"48 Elm Row Dunedin","48 Elm Row Dunedin 9016"
"2422",319868,"11 Brown Street Dunedin","C/O Fiona Cooper 304 Taieri Road Dunedin 9010"
"2423",319869,"5 Elm Row Dunedin","372 North Eyre Road RD 6 Rangiora 7476"
"2424",319870,"7 Elm Row Dunedin","7 Elm Row Dunedin 9016"
"2425",319871,"9 Elm Row Dunedin",NA
"2426",319872,"11 Elm Row Dunedin","33A Glen Road Dunedin 9011"
"2427",319873,"20 Canongate Dunedin","12A Glenbrook Drive Mosgiel 9024"
"2428",319874,"18 Canongate Dunedin",NA
"2429",319875,"16 Canongate Dunedin",NA
"2430",319876,"14 Canongate Dunedin","PO Box 37422 Parnell Auckland 1151"
"2431",319877,"12 Canongate Dunedin","PO Box 37422 Parnell Auckland 1151"
"2432",319878,"10 Canongate Dunedin","PO Box 37422 Parnell Auckland 1151"
"2433",319881,"1 Elm Row Dunedin","PO Box 9021 St Clair Dunedin 9047"
"2434",319882,"4 Duncan Street Dunedin","PO Box 109061 Newmarket Auckland 1149"
"2435",319883,"6 Duncan Street Dunedin","6 Duncan Street Dunedin 9016"
"2436",319884,"41 Brown Street Dunedin","52 Wharfe Street South Hill Oamaru 9400"
"2437",319885,"47 Brown Street Dunedin","47 Brown Street Dunedin 9016"
"2438",319886,"49 Brown Street Dunedin","3 Pendene Place Forrest Hill Auckland 0620"
"2439",319887,"42 Canongate Dunedin","10 Gowry Place Dunedin 9010"
"2440",319888,"36 Canongate Dunedin","36 Canongate Dunedin 9016"
"2441",319889,"38 Canongate Dunedin","Butchers Family Trust 71B Seacliffe Avenue Narrow Neck Auckland 0622"
"2442",319890,"17 Canongate Dunedin","PO Box 4113 Coniston NSW 2500 AUSTRALIA"
"2443",319891,"19 Canongate Dunedin","185 High Street Dunedin 9016"
"2444",319892,"21 Canongate Dunedin","178 Middleton Road Dunedin 9012"
"2445",319893,"23 Canongate Dunedin","23 Canongate Dunedin 9016"
"2446",319894,"27 Canongate Dunedin","P Martin Family Trust 27 Canongate Dunedin 9016"
"2447",319895,"31 Canongate Dunedin","1 Kirkland Street Green Island Dunedin 9018"
"2448",319896,"24 Clark Street Dunedin","22 Torquay Street Kaitangata 9210"
"2449",319897,"22 Clark Street Dunedin","PO Box 8126 Gardens Dunedin 9041"
"2450",319909,"22A MacLaggan Street Dunedin","251 Brodies Road RD 2 Amberley 7482"
"2451",319910,"195 Rattray Street Dunedin","Mayfly Investments Trust 311 Portobello Road RD 2 Dunedin 9077"
"2452",319911,"39 Canongate Dunedin","2 Hakanoa Street Grey Lynn Auckland 1021"
"2453",319912,"49 Canongate Dunedin","16 Kelvin Road Remuera Auckland 1050"
"2454",319913,"53 Canongate Dunedin","53 Canongate Dunedin 9016"
"2455",319914,"55 Canongate Dunedin","68 English Avenue Dunedin 9011"
"2456",319915,"57 Canongate Dunedin","57 Canongate Dunedin 9016"
"2457",319916,"61 Canongate Dunedin","61 Canongate Dunedin 9016"
"2458",319917,"67 Canongate Dunedin","92 Passmore Crescent Dunedin 9010"
"2459",319918,"69 Canongate Dunedin","69 Canongate Dunedin 9016"
"2460",319919,"71 Canongate Dunedin","92 Passmore Crescent Dunedin 9010"
"2461",319920,"73 Canongate Dunedin","73 Canongate Dunedin 9016"
"2462",319921,"75 Canongate Dunedin","C/O Counter Delivery Karitane PostCentre Karitane 9440"
"2463",319922,"77 Canongate Dunedin","C/O Ted Ottrey 6/51 Manor Place Dunedin 9016"
"2464",319923,"79 Canongate Dunedin","C/O Ted Ottrey 6/51 Manor Place Dunedin 9016"
"2465",319924,"81 Canongate Dunedin","Orion Investment Trust 1 Sunninghurst Drive Fairfield Dunedin 9018"
"2466",319925,"83 Canongate Dunedin","83 Canongate Dunedin 9016"
"2467",319926,"85 Canongate Dunedin","85 Canongate Dunedin 9016"
"2468",319927,"87 Canongate Dunedin","26 Sandringham Street Dunedin 9012"
"2469",319928,"89 Canongate Dunedin","57 Sheppard Road RD 2 Dunedin 9077"
"2470",319930,"99 Canongate Dunedin","1/69 Paringa Parade Old Noarlunga SA 5168 AUSTRALIA"
"2471",319931,"97 Canongate Dunedin","Dousti Samadi Partnership 6 Harden Street Dunedin 9010"
"2472",319932,"101 Canongate Dunedin","PO Box 7085 Mornington Dunedin 9040"
"2473",319933,"109 Canongate Dunedin","57 Sheppard Road RD 2 Dunedin 9077"
"2474",319934,"290 Chain Hills Road Taieri","290 Chain Hills Road RD 1 Dunedin 9076"
"2475",319935,"2 Serpentine Avenue Dunedin","4 Serpentine Avenue Dunedin 9016"
"2476",319936,"72 MacLaggan Street Dunedin","29 Mornington Road Dunedin 9011"
"2477",319937,"68 MacLaggan Street Dunedin","PO Box 5045 Moray Place Dunedin 9058"
"2478",319941,"36 MacLaggan Street Dunedin","48 Ashmore Street Dunedin 9010"
"2479",319943,"23 Clark Street Dunedin","C J McWha Trust PO Box 47424 Ponsonby Auckland 1144"
"2480",319944,"37 Canongate Dunedin","C/O Edinburgh Realty Limited PO Box 5772 Moray Place Dunedin 9058"
"2481",319945,"113 MacLaggan Street Dunedin","W Durry Family Trust 62 Bank Street Dunedin 9010"
"2482",319946,"127 MacLaggan Street Dunedin","David McMeeking Family Trust PO Box 582 Dunedin 9054"
"2483",319947,"10 Graham Street Dunedin","276 High Street Dunedin 9016"
"2484",319948,"8 Graham Street Dunedin","276 High Street Dunedin 9016"
"2485",319949,"4 Graham Street Dunedin","PO Box 8058 Gardens Dunedin 9041"
"2486",319951,"276 High Street Dunedin","276 High Street Dunedin 9016"
"2487",319952,"274 High Street Dunedin","240 York Place Dunedin 9016"
"2488",319953,"272 High Street Dunedin","C/O Chas E George &ampSons PO Box 1438 Dunedin 9054"
"2489",319954,"270 High Street Dunedin","9 Proctors Road RD 2 Dunedin 9077"
"2490",319955,"264 High Street Dunedin","356 Gordon Road RD 2 Mosgiel 9092"
"2491",319956,"262A High Street Dunedin","55 Totara Street Ravensbourne Dunedin 9022"
"2492",319957,"262B High Street Dunedin","55 Totara Street Ravensbourne Dunedin 9022"
"2493",319958,"262C High Street Dunedin","12 Victoria Street Mosgiel 9024"
